Input.qasrl_id,Input.adj_index_start,Input.sentence,Input.target,Input.adj_index_end,object_q,comparison_q,domain_q,degree_q,Answer.answer1,Answer.answer2,Answer.answer3,Answer.answer4,Answer.answer1_c,Answer.answer2_c,Answer.answer3_c,Answer.answer4_c,Answer.answer1_a,Answer.answer2_a,Answer.answer3_a,Answer.answer4_a,Answer.answer1_j,Answer.answer2_j,Answer.answer3_j,Answer.answer4_j,args_list,args_indexes,args_strings,tp,captured_args,missed_args,tp_plus_fp,tp_plus_fn,all_args
google/ewt/newsgroup/00/groups.google.com_misc.consumers_628669ce346c590d_ENG_20040527_065700.xml25,9,But I am assuring you that all will be well at the end of the day .,well,9,What will be well ?,,,,all,,,,all,,,at the end of the day,all,,the end of the day,,all,,,at the end of the day,"['*' '*' '*' '*' '*' '*' '(ARG1*)' '(ARGM-MOD*)' '*' '(V*)' '(ARGM-TMP*'
 '*' '*' '*' '*' '*)' '*']","{'ARG1': [[6, 6]], 'ARGM-MOD': [[7, 7]], 'ARGM-TMP': [[10, 15]]}","{'ARG1': 'all', 'ARGM-MOD': 'will', 'ARGM-TMP': 'at the end of the day'}",1,"[('ARG1', 1)]",[],1,1,"['ARG1', 'ARGM-MOD', 'ARGM-TMP']"
google/ewt/newsgroup/00/groups.google.com_Meditation20052_06390a5f75b2e1f2_ENG_20050316_091700.xml8,16,"Place your hands one on top of the other in your lap , keep your back straight , eyes closed and tongue on the roof of your mouth .",straight,16,What should be straight ?,,,,your back,,,,your back,,,,your back,,,,your back,,,,"['*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '(ARG1*' '*)'
 '(V*)' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*']","{'ARG1': [[14, 15]]}",{'ARG1': 'your back'},1,"[('ARG1', 1)]",[],1,1,['ARG1']
google/ewt/newsgroup/00/groups.google.com_INTPunderground_b2c62e87877e4a22_ENG_20050906_165900.xml60,25,"Sure , some will return , but I have a feeling that once many begin to get jobs and temporary housing , they may be shy about returning .",shy,25,Who might be shy about something?,,What might someone be shy about ?,,they,,returning,,they,,returning,,they,,returning,,they,,returning,,"['*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '(ARGM-TMP*' '*' '*' '*'
 '*' '*' '*' '*' '*)' '*' '(ARG0*)' '(ARGM-MOD*)' '*' '(V*)' '(ARG1*' '*)'
 '*']","{'ARGM-TMP': [[12, 20]], 'ARG0': [[22, 22]], 'ARGM-MOD': [[23, 23]], 'ARG1': [[26, 27]]}","{'ARGM-TMP': 'once many begin to get jobs and temporary housing', 'ARG0': 'they', 'ARGM-MOD': 'may', 'ARG1': 'about returning'}",2,"[('ARG0', 1), ('ARG1', 3)]",[],2,2,"['ARGM-TMP', 'ARG0', 'ARGM-MOD', 'ARG1']"
google/ewt/newsgroup/00/groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000.xml107,3,Making the country safer,safer,3,What is safer ?,,,,the country,,,,the country,,,,the country,,,,the country,,,,['*' '(ARG1*' '*)' '(V*)'],"{'ARG1': [[1, 2]]}",{'ARG1': 'the country'},1,"[('ARG1', 1)]",[],1,1,['ARG1']
google/ewt/newsgroup/00/groups.google.com_magicworld_04c89d43ff4fd6ea_ENG_20050104_152000.xml63,4,"They may not be familiar , but they will be fascinating .",familiar,4,Who might not be familiar ?,,,,They,,,,They,,,,They,,,,They,,,may not be,"['(ARG2*)' '(ARGM-MOD*)' '(ARGM-NEG*)' '*' '(V*)' '*' '*' '*' '*' '*' '*'
 '*']","{'ARG2': [[0, 0]], 'ARGM-MOD': [[1, 1]], 'ARGM-NEG': [[2, 2]]}","{'ARG2': 'They', 'ARGM-MOD': 'may', 'ARGM-NEG': 'not'}",1,"[('ARG2', 1)]",[],1,1,"['ARG2', 'ARGM-MOD', 'ARGM-NEG']"
google/ewt/newsgroup/00/groups.google.com_magicworld_04c89d43ff4fd6ea_ENG_20050104_152000.xml94,9,"Remain calm and confident , and love is very likely to flourish in 2005 .",likely,9,What is likely to do something?,,What is something likely to do ?,To what degree is something likely ?,love,,flourish in 2005,very,love,,flourish in 2005,very,love,,to flourish in 2005,very,flourishing love,,,very likely,"['*' '*' '*' '*' '*' '*' '(ARG1*)' '*' '(ARGM-EXT*)' '(V*)' '(C-ARG1*' '*'
 '*' '*)' '*']","{'ARG1': [[6, 6], [10, 13]], 'ARGM-EXT': [[8, 8]]}","{'ARG1': 'love to flourish in 2005', 'ARGM-EXT': 'very'}",2,"[('ARG1', 3), ('ARGM-EXT', 4)]",[],3,2,"['ARG1', 'ARGM-EXT']"
google/ewt/newsgroup/00/groups.google.com_alt.animals_02c2d614bfbf6b20_ENG_20050223_232900.xml34,2,It 's important with regard to the quality of streams .,important,2,What is important ?,,What is something important with ?,,It,,regard to the quality of streams,,It,,regard to the quality of streams,with regard to the quality of streams,It,,the quality of streams,with regard to the quality of streams,It,,,with regard to the quality of streams,['(ARG1*)' '*' '(V*)' '(ARGM-PRD*' '*' '*' '*' '*' '*' '*)' '*'],"{'ARG1': [[0, 0]], 'ARGM-PRD': [[3, 9]]}","{'ARG1': 'It', 'ARGM-PRD': 'with regard to the quality of streams'}",2,"[('ARG1', 1), ('ARGM-PRD', 3)]",[],2,2,"['ARG1', 'ARGM-PRD']"
google/ewt/newsgroup/00/groups.google.com_IndiaNewsWindow_1405662573fa84ed_ENG_20050831_110400.xml29,6,The situation appears to be even worse in Mississippi .,worse,6,What might be worse ?,,What is something worse in ?,,The situation in Mississippi,,Mississippi,,The situation in Mississippi,,,even worse,The situation,,Mississippi,even worse,The situation in Mississippi,,,appears to be even worse,['(ARG1*' '*)' '*' '*' '*' '(ARGM-EXT*)' '(V*)' '(ARGM-LOC*' '*)' '*'],"{'ARG1': [[0, 1]], 'ARGM-EXT': [[5, 5]], 'ARGM-LOC': [[7, 8]]}","{'ARG1': 'The situation', 'ARGM-EXT': 'even', 'ARGM-LOC': 'in Mississippi'}",2,"[('ARG1', 1), ('ARGM-LOC', 3)]",['ARGM-EXT'],2,3,"['ARG1', 'ARGM-EXT', 'ARGM-LOC']"
google/ewt/newsgroup/00/groups.google.com_GayMarriage_0ccbb50b41a5830b_ENG_20050321_181500.xml23,10,"This right to love and form a family is so fundamental that our United States Constitution takes it for granted in its dedication to "" secure the blessings of liberty to ourselves and our posterity . """,fundamental,10,What is fundamental ?,,,To what degree is something fundamental ?,This right to love and form a family + it,,,so fundamental that our United States Constitution takes it for granted,This right to love and form a family + it,,,so fundamental that our United States Constitution takes it for granted in its dedication,This right to love and form a family,,,,This right to love and form a family,,,so fundamental that our United States Constitution takes it for granted in its dedication,"['(ARG1*' '*' '*' '*' '*' '*' '*' '*)' '*' '(ARGM-CXN*)' '(V*)'
 '(C-ARGM-CXN*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*' '*'
 '*' '*' '*' '*' '*' '*' '*' '*' '*)' '*' '*']","{'ARG1': [[0, 7]], 'ARGM-CXN': [[9, 9], [11, 34]]}","{'ARG1': 'This right to love and form a family', 'ARGM-CXN': 'so that our United States Constitution takes it for granted in its dedication to "" secure the blessings of liberty to ourselves and our posterity'}",2,"[('ARG1', 1), ('ARGM-CXN', 4)]",[],3,2,"['ARG1', 'ARGM-CXN']"
google/ewt/newsgroup/00/groups.google.com_eHolistic_417b09016150421f_ENG_20051120_175800.xml31,9,"Ten years later your check should still be the same or greater , fulfilling the promise of long - term residual income .",same,9,What should be the same ?,,What should something be the same as ?,,your check Ten years later,,your check Ten years later,,your check Ten years later,,your check,,your check,,,,your check,,fulfill the promise of long - term residual income,should still be the same or greater,"['(ARGM-TMP*' '*' '*)' '(ARG1*' '*)' '(ARGM-MOD*)' '(ARGM-TMP*)' '*' '*'
 '(V*)' '*' '*' '*' '(ARGM-ADV*' '*' '*' '*' '*' '*' '*' '*' '*)' '*']","{'ARGM-TMP': [[0, 2], [6, 6]], 'ARG1': [[3, 4]], 'ARGM-MOD': [[5, 5]], 'ARGM-ADV': [[13, 21]]}","{'ARGM-TMP': 'Ten years later still', 'ARG1': 'your check', 'ARGM-MOD': 'should', 'ARGM-ADV': 'fulfilling the promise of long - term residual income'}",1,"[('ARG1', 1)]",[],2,1,"['ARGM-TMP', 'ARG1', 'ARGM-MOD', 'ARGM-ADV']"
